step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,4424,8,0.21090754458907537,0.0,0.0,0.1635957536660972,0.0,0.0,,,,,,
2,13264,16,0.10273437044591091,0.0,0.0,,,,,,,,,
3,22104,24,0.09892046872673188,0.75,0.75,,,,,,,,,
4,26912,32,0.13175876588997304,0.875,0.875,,,,,,,,,
5,33000,40,0.15261297827765252,0.5,0.5,,,,,,,,,
6,41008,48,0.13158555602840533,1.0,1.0,,,,,,,,,
7,47352,56,0.13824214800906248,1.0,1.0,,,,,,,,,
8,55424,64,0.11571796084075459,1.0,1.0,,,,,,,,,
9,61000,72,0.1288404625679277,1.0,1.0,,,,,,,,,
10,68432,80,0.13868734782078107,0.75,0.75,,,,,,,,,
11,75288,88,0.12337135540210295,0.5,0.5,,,,,,,,,
12,82016,96,0.13058463489555422,0.625,0.625,,,,,,,,,
13,87272,104,0.13452232965462624,0.625,0.625,,,,,,,,,
14,97328,112,0.14605984860054486,0.875,0.875,,,,,,,,,
15,104568,120,0.1101681978874764,0.625,0.625,,,,,,,,,
16,109632,128,0.14666804003056663,0.625,0.625,,,,,,,,,
17,115976,136,0.12945241055772402,0.5,0.5,,,,,,,,,
18,123600,144,0.1504121659657505,0.625,0.625,,,,,,,,,
19,128792,152,0.17164981186874784,0.875,0.875,,,,,,,,,
20,138080,160,0.12994711371535528,0.75,0.75,,,,,,,,,
21,145512,168,0.10365380111512634,0.875,0.875,,,,,,,,,
22,154736,176,0.09378212220907985,0.75,0.75,,,,,,,,,
23,160312,184,0.1416615452955451,0.75,0.75,,,,,,,,,
24,170624,192,0.11536909953793054,0.875,0.875,,,,,,,,,
25,177800,200,0.1446569879652958,0.75,0.75,,,,,,,,,
26,185616,208,0.1404883041894296,0.75,0.75,,,,,,,,,
27,193688,216,0.1069777211053121,0.75,0.75,,,,,,,,,
28,199392,224,0.11393356601469361,0.875,0.875,,,,,,,,,
29,205160,232,0.14833600616628254,0.625,0.625,,,,,,,,,
30,213616,240,0.13359296162838116,0.875,0.875,,,,,,,,,
31,228472,248,0.07176182872398351,0.625,0.625,,,,,,,,,
32,235136,256,0.1643884918237227,0.625,0.625,,,,,,,,,
33,246216,264,0.11195197866281627,0.875,0.875,,,,,,,,,
34,251216,272,0.1411724685910004,0.75,0.75,,,,,,,,,
35,259416,280,0.10649206843349265,0.625,0.625,,,,,,,,,
36,264352,288,0.1360076642510886,0.75,0.75,,,,,,,,,
37,270440,296,0.12587122592931765,0.75,0.75,,,,,,,,,
38,274544,304,0.1931778829741072,0.875,0.875,,,,,,,,,
39,282872,312,0.17248471731877432,1.0,1.0,,,,,,,,,
40,289472,320,0.14973342918090315,1.0,1.0,,,,,,,,,
41,299720,328,0.1150343394088699,0.75,0.75,,,,,,,,,
42,306000,336,0.16362131474088698,0.875,0.875,,,,,,,,,
43,311448,344,0.11009633865003965,0.75,0.75,,,,,,,,,
44,316576,352,0.1589730512591132,0.75,0.75,,,,,,,,,
45,324328,360,0.11862674845111436,0.5,0.5,,,,,,,,,
46,331248,368,0.14261687735878367,1.0,1.0,,,,,,,,,
